"Crimes Against Person By City or County"
"Current date: 6/24/2023 10:47:56 AM (Eastern Daylight Time)"
"Data source: Virginia_SS, Offense Data"
"Incident Date: 2021"
"Jurisdiction by Geography","Offense Type","Number of Crimes",
"Goochland County","Human Trafficking, Involuntary Servitude",""
"Hanover County","Crimes Against Person","1,300"
"Hanover County","Murder and Nonnegligent Manslaughter","1"
"Hanover County","Negligent Manslaughter","2"
"Hanover County","Justifiable Homicide",""
"Hanover County","Kidnapping/Abduction","15"
"Hanover County","Forcible Rape","9"
"Hanover County","Forcible Sodomy","3"
"Hanover County","Sexual Assault With An Object","11"
"Hanover County","Forcible Fondling","65"
"Hanover County","Incest",""
"Hanover County","Statutory Rape","5"
"Hanover County","Aggravated Assault","188"
"Hanover County","Simple Assault","914"
"Hanover County","Intimidation","87"
"Hanover County","Human Trafficking, Commercial Sex Acts",""
"Hanover County","Human Trafficking, Involuntary Servitude",""
"Henrico County","Crimes Against Person","2,537"
"Henrico County","Murder and Nonnegligent Manslaughter","24"
"Henrico County","Negligent Manslaughter","1"
"Henrico County","Justifiable Homicide",""
"Henrico County","Kidnapping/Abduction","40"
"Henrico County","Forcible Rape","30"
"Henrico County","Forcible Sodomy","17"
"Henrico County","Sexual Assault With An Object","1"
"Henrico County","Forcible Fondling","17"
"Henrico County","Incest","1"
"Henrico County","Statutory Rape",""
"Henrico County","Aggravated Assault","483"
"Henrico County","Simple Assault","1,866"
"Henrico County","Intimidation","40"
"Henrico County","Human Trafficking, Commercial Sex Acts","16"
"Henrico County","Human Trafficking, Involuntary Servitude","1"
"Hopewell City","Crimes Against Person","647"
"Hopewell City","Murder and Nonnegligent Manslaughter","3"
"Hopewell City","Negligent Manslaughter","1"
"Hopewell City","Justifiable Homicide",""
"Hopewell City","Kidnapping/Abduction","9"
"Hopewell City","Forcible Rape","4"
"Hopewell City","Forcible Sodomy","1"
"Hopewell City","Sexual Assault With An Object","3"
"Hopewell City","Forcible Fondling","6"
"Hopewell City","Incest",""
"Hopewell City","Statutory Rape","1"
"Hopewell City","Aggravated Assault","52"
"Hopewell City","Simple Assault","548"
"Hopewell City","Intimidation","19"
"Hopewell City","Human Trafficking, Commercial Sex Acts",""
"Hopewell City","Human Trafficking, Involuntary Servitude",""
"King & Queen County","Crimes Against Person","48"
"King & Queen County","Murder and Nonnegligent Manslaughter",""
"King & Queen County","Negligent Manslaughter",""
"King & Queen County","Justifiable Homicide",""
"King & Queen County","Kidnapping/Abduction","1"
"King & Queen County","Forcible Rape","1"
"King & Queen County","Forcible Sodomy",""
"King & Queen County","Sexual Assault With An Object",""
"King & Queen County","Forcible Fondling","4"
"King & Queen County","Incest",""
"King & Queen County","Statutory Rape","1"
"King & Queen County","Aggravated Assault","6"
"King & Queen County","Simple Assault","31"
"King & Queen County","Intimidation","3"
"King & Queen County","Human Trafficking, Commercial Sex Acts","1"
"King & Queen County","Human Trafficking, Involuntary Servitude",""
"King George County","Crimes Against Person","335"
"King George County","Murder and Nonnegligent Manslaughter","1"
"King George County","Negligent Manslaughter",""
"King George County","Justifiable Homicide",""
"King George County","Kidnapping/Abduction","3"
"King George County","Forcible Rape","4"
"King George County","Forcible Sodomy","3"
"King George County","Sexual Assault With An Object","3"
"King George County","Forcible Fondling","16"
"King George County","Incest",""
"King George County","Statutory Rape","1"
"King George County","Aggravated Assault","39"
"King George County","Simple Assault","219"
"King George County","Intimidation","44"
"King George County","Human Trafficking, Commercial Sex Acts","2"
"King George County","Human Trafficking, Involuntary Servitude",""
"King William County","Crimes Against Person","158"
"King William County","Murder and Nonnegligent Manslaughter",""
"King William County","Negligent Manslaughter",""
"King William County","Justifiable Homicide",""
"King William County","Kidnapping/Abduction","6"
"King William County","Forcible Rape","3"
"King William County","Forcible Sodomy",""
"King William County","Sexual Assault With An Object","2"
"King William County","Forcible Fondling","4"
"King William County","Incest",""
"King William County","Statutory Rape",""
"King William County","Aggravated Assault","24"
"King William County","Simple Assault","109"
"King William County","Intimidation","10"
"King William County","Human Trafficking, Commercial Sex Acts",""
"King William County","Human Trafficking, Involuntary Servitude",""
"Lancaster County","Crimes Against Person","117"
"Lancaster County","Murder and Nonnegligent Manslaughter",""
"Lancaster County","Negligent Manslaughter",""
"Lancaster County","Justifiable Homicide",""
"Lancaster County","Kidnapping/Abduction","2"
"Lancaster County","Forcible Rape","3"
"Lancaster County","Forcible Sodomy","1"
"Lancaster County","Sexual Assault With An Object",""
"Lancaster County","Forcible Fondling","4"
"Lancaster County","Incest",""
"Lancaster County","Statutory Rape",""
"Lancaster County","Aggravated Assault","21"
"Lancaster County","Simple Assault","76"
"Lancaster County","Intimidation","10"
"Lancaster County","Human Trafficking, Commercial Sex Acts",""
"Lancaster County","Human Trafficking, Involuntary Servitude",""
"Louisa County","Crimes Against Person","231"
"Louisa County","Murder and Nonnegligent Manslaughter",""
"Louisa County","Negligent Manslaughter",""
"Louisa County","Justifiable Homicide",""
"Louisa County","Kidnapping/Abduction","10"
"Louisa County","Forcible Rape","10"
"Louisa County","Forcible Sodomy",""
"Louisa County","Sexual Assault With An Object","2"
"Louisa County","Forcible Fondling","11"
